일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구
20220701,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,430,328,262,231,274,707,1630,2366,2150,1961,2113,2070,1898,1781,1873,1959,1871,2126,1977,1554,1190,1238,1150,779,종로구
20220702,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,643,437,338,282,310,532,889,1076,1489,1783,1939,1959,1720,1869,1877,1760,1888,1834,1629,1195,1016,1022,1033,725,종로구
20220703,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,502,395,309,207,217,328,635,804,1222,1386,1672,1680,1629,1624,1573,1575,1500,1460,1190,1014,910,958,845,537,종로구
20220704,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,386,273,195,192,277,752,1852,2679,2430,2080,1971,1864,1744,1578,1722,1843,1729,1902,1772,1411,1068,1068,939,699,종로구
20220705,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,468,321,247,199,281,697,1658,2583,2406,2062,2011,2050,1843,1596,1717,1921,1884,2086,1938,1380,1090,1101,965,679,종로구
20220706,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,499,393,313,240,281,707,1669,2566,2392,2154,1874,2011,1665,1709,1697,1873,1940,1987,1948,1352,1066,1092,1034,762,종로구
20220707,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,501,338,290,214,305,710,1609,2542,2431,2184,1969,2003,1870,1609,1589,1837,1996,1973,1834,1306,1045,1057,951,653,종로구
20220708,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,468,395,305,228,255,729,1640,2451,2346,2189,1966,2084,1715,1787,1843,1934,1956,2211,2031,1517,1191,1146,1066,732,종로구
20220709,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,526,505,343,298,307,497,812,1063,1424,1820,2002,2075,1805,1944,1948,1849,1805,1667,1468,1122,1036,1050,1013,668,종로구
20220710,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,484,402,333,218,201,322,570,808,1197,1347,1681,1621,1562,1605,1574,1500,1450,1373,1211,1040,958,953,756,550,종로구
20220711,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,360,265,191,174,241,723,1804,2607,2460,2083,1844,1844,1554,1603,1681,1833,1751,1932,1760,1260,1042,1076,903,641,종로구
20220712,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,451,326,293,190,270,668,1669,2514,2417,2140,1893,2032,1752,1592,1673,1846,1816,2054,1863,1326,1087,1086,968,727,종로구
20220713,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,501,375,257,221,290,631,1551,2308,2366,2049,1777,1863,1771,1586,1449,1742,1897,1857,1687,1271,965,903,960,699,종로구
20220714,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,398,265,234,205,278,632,1610,2529,2393,2081,1939,1967,1867,1528,1689,1886,1993,2109,1953,1365,1101,1158,1151,782,종로구
20220715,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,536,424,341,263,304,741,1624,2490,2352,1998,1964,2004,1853,1581,1755,1987,2075,2211,2139,1512,1191,1202,1065,797,종로구
20220716,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,566,464,349,290,330,534,919,1025,1469,1815,1976,2037,1894,1873,1936,1935,1767,1804,1543,1126,929,1062,912,725,종로구
20220717,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,452,335,285,216,186,326,596,788,1156,1438,1620,1591,1660,1646,1626,1517,1408,1348,1159,982,959,967,770,573,종로구
20220718,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,385,283,169,188,255,767,1805,2631,2456,1990,1934,1939,1637,1650,1725,1798,1808,1868,1742,1300,1061,1071,888,671,종로구
20220719,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,492,319,244,212,272,704,1619,2541,2304,2009,1977,1880,1760,1696,1665,1867,1888,1983,1864,1318,1092,1076,956,709,종로구
20220720,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,468,384,270,237,274,655,1654,2436,2351,2041,1948,1934,1651,1636,1687,1946,1938,1926,1832,1335,1028,962,923,657,종로구
20220721,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,419,345,275,215,260,633,1517,2409,2280,2088,1938,2031,1876,1595,1749,1872,1902,1937,1897,1353,1078,1064,1002,724,종로구
20220722,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,543,417,324,232,286,702,1599,2374,2262,2037,1964,1989,1637,1739,1900,1965,2046,2059,1953,1446,1101,1064,1098,806,종로구
20220723,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,577,422,352,270,291,505,893,1009,1362,1736,1864,1858,1836,1727,1759,1571,1577,1573,1452,1012,919,960,789,559,종로구
20220724,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,360,277,217,166,182,296,577,772,1101,1413,1575,1426,1542,1503,1537,1444,1330,1357,1070,978,887,917,702,530,종로구
20220725,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,407,246,227,187,222,749,1785,2541,2325,1941,1902,1858,1703,1702,1586,1722,1750,1852,1802,1259,1072,1025,939,660,종로구
20220726,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,447,348,227,204,248,674,1605,2393,2252,1945,1961,2001,1809,1720,1693,1816,1871,2024,1819,1304,1090,1024,1007,643,종로구
20220727,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,458,346,243,210,265,677,1608,2362,2218,1974,1983,2112,1851,1718,1830,1639,1757,2043,1855,1344,1111,1076,985,733,종로구
20220728,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,439,357,282,207,284,649,1599,2346,2352,1976,1932,2070,1895,1748,1724,1973,1917,2151,2015,1365,1131,1086,984,646,종로구
20220729,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,444,364,286,233,255,704,1552,2330,2294,2092,1971,2030,1991,1936,1961,1912,2017,2164,1845,1387,1046,1069,1019,689,종로구
20220730,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,457,359,314,240,277,501,768,930,1232,1564,1626,1821,1715,1690,1596,1464,1508,1588,1315,1010,982,911,863,618,종로구
20220731,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,384,304,207,176,177,302,513,720,1015,1189,1473,1343,1523,1382,1485,1443,1293,1287,1056,917,805,834,608,422,종로구
20220701,금,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,612,447,368,309,246,441,829,1471,1565,1473,1508,1439,1439,1578,1638,1580,1929,1997,2213,2040,1723,1528,1325,1091,종로구
20220702,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,857,625,453,389,322,430,619,787,1111,1319,1404,1458,1583,1463,1545,1752,1770,1820,1850,1448,1358,1178,1084,1006,종로구
20220703,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,626,462,364,278,222,282,377,505,705,903,1172,1247,1424,1531,1643,1602,1730,1592,1425,1172,1231,1066,902,659,종로구
20220704,월,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,506,337,252,238,231,459,931,1557,1667,1545,1504,1363,1442,1633,1575,1664,1561,1946,2185,1884,1540,1301,1108,819,종로구
