,연번,시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
6,7,서울특별시,도봉구,창동,2022,1,1,0,20,토,0,0,0,131,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,공터,
14,15,서울특별시,강동구,고덕동,2022,1,1,1,0,토,0,0,0,248,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,계절용 기기,열선,"판매,업무시설",일반업무,일반빌딩,
30,31,서울특별시,노원구,공릉동,2022,1,1,5,27,토,0,0,0,1727,"건축,구조물",부주의,담배꽁초,"침구,직물류","이불(베개,시트)",,,"판매,업무시설",숙박시설,모텔,
37,38,서울특별시,종로구,평창동,2022,1,1,7,24,토,0,0,0,268,"건축,구조물",미상,미상,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,
39,40,서울특별시,강남구,역삼동,2022,1,1,7,40,토,0,0,0,184,"건축,구조물",부주의,"불씨,불꽃,화원방치","침구,직물류","기타(침구,직물류)",,,주거,공동주택,주상복합아파트,
44,45,서울특별시,서대문구,연희동,2022,1,1,8,6,토,0,0,0,24750,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로
54,55,서울특별시,중랑구,상봉동,2022,1,1,9,16,토,2,0,2,12448,"건축,구조물",미상,미상,미상,미상,,,"판매,업무시설",숙박시설,모텔,
64,65,서울특별시,은평구,불광동,2022,1,1,10,12,토,0,0,0,485,"건축,구조물",기계적 요인,자동제어 실패,"전기,전자",전자기기 부속품,계절용 기기,전기히터/스토브,"의료,복지시설",의료시설,병원,
68,69,서울특별시,광진구,자양동,2022,1,1,10,35,토,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,다세대주택,
69,70,서울특별시,양천구,신정동,2022,1,1,10,43,토,0,0,0,22,"건축,구조물",부주의,담배꽁초,기타,기타,,,주거,공동주택,아파트,
