시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
서울특별시,종로구,평창동,2022,1,1,7,24,토,0,0,0,268,"건축,구조물",미상,미상,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,
서울특별시,서대문구,연희동,2022,1,1,8,6,토,0,0,0,24750,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로
서울특별시,성북구,종암동,2022,1,1,15,9,토,0,0,0,56,"건축,구조물",부주의,"불씨,불꽃,화원방치","전기,전자","전기, 전자기기 케이스",,,주거,단독주택,기타 단독주택,
서울특별시,동대문구,장안동,2022,1,1,20,39,토,0,0,0,55,"건축,구조물",부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,다세대주택,
서울특별시,서대문구,홍은동,2022,1,2,9,27,일,0,0,0,256,"건축,구조물",전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,
서울특별시,중구,을지로6가,2022,1,2,19,59,일,0,0,0,973,"건축,구조물",부주의,"불씨,불꽃,화원방치",식품,기타(식품),,,생활서비스,음식점,한식,
서울특별시,중구,을지로7가,2022,1,2,22,6,일,0,0,0,49,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 기판",계절용 기기,전기히터/스토브,"판매,업무시설",판매시설,쇼핑센터,
서울특별시,종로구,신문로2가,2022,1,3,18,22,월,0,0,0,52,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,다가구주택,
서울특별시,동대문구,답십리동,2022,1,3,21,29,월,1,0,1,3359,"건축,구조물",미상,미상,기타,기타,,,주거,단독주택,다가구주택,
서울특별시,서대문구,홍제동,2022,1,4,10,41,화,0,0,0,310,"건축,구조물",기타,기타,식품,튀김유,,,생활서비스,음식점,기타휴게음식점,
서울특별시,중구,필동2가,2022,1,4,17,44,화,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
서울특별시,성북구,정릉동,2022,1,5,0,25,수,0,0,0,24,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
서울특별시,서대문구,홍은동,2022,1,5,11,34,수,0,0,0,329,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,발포폴리스티렌,계절용 기기,열선,기타서비스,기타건축물,공중화장실,
서울특별시,종로구,수송동,2022,1,5,18,30,수,1,0,1,1395,"건축,구조물",방화,방화,"침구,직물류","이불(베개,시트)",,,"판매,업무시설",숙박시설,호텔,
서울특별시,동대문구,용두동,2022,1,5,19,48,수,1,0,1,1234,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,
서울특별시,중구,정동,2022,1,5,19,57,수,1,1,0,0,기타(쓰레기 화재등),방화,방화,위험물등,시너,,,기타,야외,기타야외,
서울특별시,서대문구,홍제동,2022,1,6,2,39,목,0,0,0,6,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,주거,공동주택,아파트,
서울특별시,서대문구,창천동,2022,1,6,2,41,목,0,0,0,75,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","기타(침구,직물류)",계절용 기기,전기장판/담요/방석류,"판매,업무시설",일반업무,오피스텔,
서울특별시,종로구,인의동,2022,1,6,2,46,목,0,0,0,784,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,특수자동차,일반도로
