구,일자,연도,월,일,요일,지점명,지점번호,방향,구분,variable,value
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,0시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,0시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,1시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,1시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,2시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,2시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,3시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,3시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,4시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,4시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,5시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,5시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,6시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,6시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,7시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,7시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,8시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,8시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,9시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,9시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,10시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,10시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,11시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,11시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,12시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,12시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,13시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,13시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,14시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,14시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,15시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,15시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,16시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,16시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,17시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,17시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,18시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,18시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,19시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,19시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,20시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,20시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,21시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,21시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,22시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,22시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,23시,
종로구,20220101,2022,1,1,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,23시,
