지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),지면온도(°C),년,월,일,시
서울,2022-01-01 00:00,-8.5,0.0,1.9,41,1021.9,0.0,-7.0,2022,01,01,00
서울,2022-01-01 01:00,-9.2,0.0,1.8,42,1022.2,0.0,-7.2,2022,01,01,01
서울,2022-01-01 02:00,-9.5,0.0,1.2,43,1022.3,0.0,-7.5,2022,01,01,02
서울,2022-01-01 03:00,-9.3,0.0,1.4,46,1022.6,0.0,-7.6,2022,01,01,03
서울,2022-01-01 04:00,-9.6,0.0,1.7,48,1021.9,0.0,-7.6,2022,01,01,04
서울,2022-01-01 05:00,-9.7,0.0,0.8,51,1022.0,0.0,-7.7,2022,01,01,05
서울,2022-01-01 06:00,-9.8,0.0,1.9,53,1021.7,0.0,-7.6,2022,01,01,06
서울,2022-01-01 07:00,-10.1,0.0,1.9,55,1021.6,0.0,-7.6,2022,01,01,07
서울,2022-01-01 08:00,-10.2,0.0,2.5,56,1021.8,0.0,-7.4,2022,01,01,08
서울,2022-01-01 09:00,-9.1,0.0,2.1,56,1021.9,0.0,-6.4,2022,01,01,09
서울,2022-01-01 10:00,-6.8,0.0,2.3,42,1022.4,0.0,-3.1,2022,01,01,10
서울,2022-01-01 11:00,-4.3,0.0,0.9,37,1022.3,0.0,-0.4,2022,01,01,11
서울,2022-01-01 12:00,-2.3,0.0,1.2,34,1021.4,0.0,3.0,2022,01,01,12
서울,2022-01-01 13:00,-0.1,0.0,1.5,32,1020.3,0.0,5.5,2022,01,01,13
서울,2022-01-01 14:00,1.3,0.0,2.2,32,1019.1,0.0,5.1,2022,01,01,14
서울,2022-01-01 15:00,1.9,0.0,1.7,35,1018.5,0.0,2.1,2022,01,01,15
서울,2022-01-01 16:00,1.8,0.0,1.4,37,1018.4,0.0,0.0,2022,01,01,16
서울,2022-01-01 17:00,0.5,0.0,1.5,38,1018.5,0.0,-0.3,2022,01,01,17
서울,2022-01-01 18:00,-0.9,0.0,0.7,42,1018.2,0.0,-1.2,2022,01,01,18
서울,2022-01-01 19:00,-1.2,0.0,0.9,45,1018.2,0.0,-1.0,2022,01,01,19
서울,2022-01-01 20:00,-1.6,0.0,0.9,47,1017.8,0.0,-2.3,2022,01,01,20
서울,2022-01-01 21:00,-2.4,0.0,2.1,49,1017.5,0.0,-3.0,2022,01,01,21
서울,2022-01-01 22:00,-2.5,0.0,1.0,49,1017.4,0.0,-3.4,2022,01,01,22
서울,2022-01-01 23:00,-2.6,0.0,0.9,52,1017.1,0.0,-3.0,2022,01,01,23
서울,2022-01-02 00:00,-2.8,0.0,2.3,55,1016.3,0.0,-3.3,2022,01,02,00
서울,2022-01-02 01:00,-2.9,0.0,2.1,57,1015.8,0.0,-3.4,2022,01,02,01
서울,2022-01-02 02:00,-2.6,0.0,1.9,57,1015.3,0.0,-2.5,2022,01,02,02
서울,2022-01-02 03:00,-2.1,0.0,2.5,56,1015.1,0.0,-2.1,2022,01,02,03
서울,2022-01-02 04:00,-1.9,0.0,2.0,55,1014.3,0.0,-2.1,2022,01,02,04
서울,2022-01-02 05:00,-1.9,0.0,2.3,56,1013.6,0.0,-2.0,2022,01,02,05
서울,2022-01-02 06:00,-1.9,0.0,2.5,66,1014.1,0.1,-1.8,2022,01,02,06
서울,2022-01-02 07:00,-2.2,0.0,2.0,81,1014.3,0.5,-1.6,2022,01,02,07
서울,2022-01-02 08:00,-2.2,0.0,2.0,83,1014.6,0.5,-1.9,2022,01,02,08
서울,2022-01-02 09:00,-1.9,0.3,1.4,82,1015.4,0.4,-1.5,2022,01,02,09
서울,2022-01-02 10:00,-0.8,0.0,0.7,81,1016.2,0.3,-0.8,2022,01,02,10
서울,2022-01-02 11:00,0.0,0.0,3.3,80,1016.7,0.2,-0.1,2022,01,02,11
서울,2022-01-02 12:00,1.4,0.0,2.4,74,1016.3,0.0,4.3,2022,01,02,12
서울,2022-01-02 13:00,1.4,0.0,3.6,67,1015.7,0.0,3.8,2022,01,02,13
서울,2022-01-02 14:00,2.4,0.0,3.5,55,1015.0,0.0,6.2,2022,01,02,14
서울,2022-01-02 15:00,2.5,0.0,3.3,46,1015.1,0.0,2.7,2022,01,02,15
서울,2022-01-02 16:00,2.5,0.0,3.0,45,1015.3,0.0,0.2,2022,01,02,16
서울,2022-01-02 17:00,1.2,0.0,2.7,45,1015.6,0.0,-0.1,2022,01,02,17
서울,2022-01-02 18:00,-0.5,0.0,2.9,40,1016.1,0.0,-0.8,2022,01,02,18
서울,2022-01-02 19:00,-1.6,0.0,2.0,41,1016.8,0.0,-1.5,2022,01,02,19
서울,2022-01-02 20:00,-2.6,0.0,1.6,46,1016.7,0.0,-2.3,2022,01,02,20
서울,2022-01-02 21:00,-2.9,0.0,2.7,48,1016.9,0.0,-2.9,2022,01,02,21
서울,2022-01-02 22:00,-3.8,0.0,2.1,49,1017.2,0.0,-3.7,2022,01,02,22
서울,2022-01-02 23:00,-4.4,0.0,2.9,48,1017.3,0.0,-4.2,2022,01,02,23
서울,2022-01-03 00:00,-5.2,0.0,1.6,51,1016.8,0.0,-4.9,2022,01,03,00
서울,2022-01-03 01:00,-5.8,0.0,2.1,52,1016.9,0.0,-5.4,2022,01,03,01
서울,2022-01-03 02:00,-6.4,0.0,1.7,56,1016.9,0.0,-5.9,2022,01,03,02
서울,2022-01-03 03:00,-7.0,0.0,1.6,59,1016.9,0.0,-6.4,2022,01,03,03
서울,2022-01-03 04:00,-7.2,0.0,1.3,61,1016.6,0.0,-6.5,2022,01,03,04
서울,2022-01-03 05:00,-7.4,0.0,0.3,59,1016.5,0.0,-6.8,2022,01,03,05
서울,2022-01-03 06:00,-7.8,0.0,2.1,55,1016.4,0.0,-7.2,2022,01,03,06
서울,2022-01-03 07:00,-7.7,0.0,2.0,54,1016.3,0.0,-7.4,2022,01,03,07
서울,2022-01-03 08:00,-7.6,0.0,1.6,55,1017.1,0.0,-7.2,2022,01,03,08
서울,2022-01-03 09:00,-6.9,0.0,1.7,55,1017.2,0.0,-5.7,2022,01,03,09
서울,2022-01-03 10:00,-4.0,0.0,1.2,55,1017.2,0.0,-2.3,2022,01,03,10
서울,2022-01-03 11:00,-1.4,0.0,1.5,44,1016.8,0.0,-0.3,2022,01,03,11
서울,2022-01-03 12:00,0.9,0.0,2.1,36,1015.9,0.0,2.6,2022,01,03,12
서울,2022-01-03 13:00,1.7,0.0,2.8,43,1015.5,0.0,4.1,2022,01,03,13
서울,2022-01-03 14:00,2.0,0.0,2.4,43,1014.6,0.0,4.9,2022,01,03,14
서울,2022-01-03 15:00,2.2,0.0,2.2,48,1014.2,0.0,3.0,2022,01,03,15
서울,2022-01-03 16:00,2.3,0.0,2.4,49,1014.0,0.0,1.1,2022,01,03,16
서울,2022-01-03 17:00,1.6,0.0,3.0,56,1013.9,0.0,-0.1,2022,01,03,17
서울,2022-01-03 18:00,1.3,0.0,1.9,58,1013.8,0.0,-0.1,2022,01,03,18
서울,2022-01-03 19:00,1.3,0.0,2.6,65,1013.8,0.0,-0.2,2022,01,03,19
서울,2022-01-03 20:00,1.2,0.0,1.8,68,1014.0,0.0,-0.2,2022,01,03,20
서울,2022-01-03 21:00,1.1,0.0,2.8,74,1013.8,0.0,-0.2,2022,01,03,21
서울,2022-01-03 22:00,0.9,0.0,1.5,75,1013.6,0.0,-0.4,2022,01,03,22
서울,2022-01-03 23:00,0.6,0.0,1.3,75,1013.4,0.0,-0.6,2022,01,03,23
서울,2022-01-04 00:00,0.7,0.0,1.6,81,1013.8,0.0,-0.4,2022,01,04,00
서울,2022-01-04 01:00,0.7,0.0,1.3,81,1014.1,0.0,-0.5,2022,01,04,01
서울,2022-01-04 02:00,-0.4,0.0,2.4,77,1014.7,0.0,-1.3,2022,01,04,02
