feature,mean_importance
feature_17_ratio_feature_4,-0.017358335822656536
feature_8_multiply_feature_4,-0.013345337767000531
feature_7,-0.013107983710135707
feature_14_multiply_feature_4,-0.012151760531974287
feature_13_ratio_feature_4,-0.00950839426900565
feature_11,-0.009300556896758105
feature_4_ratio_feature_17,-0.00796615455047669
feature_4_ratio_feature_13,-0.003410521752243478
feature_9,-0.0032405416018995493
feature_8,-0.002500513657876935
feature_5,-0.0018725836301694443
feature_10,-0.00023624176640624217
feature_14,0.00018465105079721323
feature_17,0.0007137174453778928
random_feature,0.0009107490837016341
feature_6,0.0009449322355049361
feature_13,0.0012920353371128179
feature_12,0.003553832948270541
feature_2,0.004874086929683696
feature_15,0.005021882728192928
feature_4_ratio_feature_15,0.01189138467191433
feature_4_diff_feature_9,0.012051955633678602
feature_1,0.016504082608479152
feature_16,0.026633444980079933
feature_3,0.029584839252023376
feature_14_ratio_feature_4,0.03657534314061313
feature_18,0.05010649401808831
feature_15_ratio_feature_4,0.06587697069165425
feature_4,0.1439099667924303
