name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,mae,54.08730827869445,33.65
2_Default_Xgboost,Xgboost,mae,55.33499994326352,42.1
3_Default_CatBoost,CatBoost,mae,56.023149563998984,61.62
4_Default_NeuralNetwork,Neural Network,mae,65.13663429569364,214.6
5_Default_RandomForest,Random Forest,mae,62.009284570035916,82.12
15_LightGBM,LightGBM,mae,56.31835140214668,13.57
6_Xgboost,Xgboost,mae,56.078550215231544,23.74
24_CatBoost,CatBoost,mae,55.77087427973635,67.4
33_RandomForest,Random Forest,mae,61.89572863020359,76.6
42_NeuralNetwork,Neural Network,mae,80.99347388968816,59.77
16_LightGBM,LightGBM,mae,55.3556541519111,26.01
7_Xgboost,Xgboost,mae,57.60393828058602,17.85
25_CatBoost,CatBoost,mae,56.32767341298937,42.77
34_RandomForest,Random Forest,mae,59.58788338114979,54.3
43_NeuralNetwork,Neural Network,mae,68.42504224466697,412.83
17_LightGBM,LightGBM,mae,54.41388712092666,42.9
8_Xgboost,Xgboost,mae,55.2048282278803,38.84
26_CatBoost,CatBoost,mae,45.98154615332278,978.66
35_RandomForest,Random Forest,mae,63.91583494790309,43.28
44_NeuralNetwork,Neural Network,mae,62.42246167814712,121.42
18_LightGBM,LightGBM,mae,54.07227102439579,39.12
9_Xgboost,Xgboost,mae,58.22774898592529,48.44
27_CatBoost,CatBoost,mae,46.758288197868815,955.17
36_RandomForest,Random Forest,mae,61.891601175625496,57.96
45_NeuralNetwork,Neural Network,mae,63.029833607209426,64.22
19_LightGBM,LightGBM,mae,56.99859589074719,9.59
10_Xgboost,Xgboost,mae,56.456763723302785,48.35
28_CatBoost,CatBoost,mae,55.93879725874066,247.67
37_RandomForest,Random Forest,mae,64.00036242586133,68.18
46_NeuralNetwork,Neural Network,mae,70.18675058657288,94.25
20_LightGBM,LightGBM,mae,55.01452044371451,21.95
11_Xgboost,Xgboost,mae,57.405521335707256,32.12
29_CatBoost,CatBoost,mae,46.40403282711603,857.72
38_RandomForest,Random Forest,mae,62.27498626494448,54.55
47_NeuralNetwork,Neural Network,mae,65.19956247792193,387.37
21_LightGBM,LightGBM,mae,53.690245633721155,13.32
12_Xgboost,Xgboost,mae,55.40826919815283,17.41
30_CatBoost,CatBoost,mae,46.164502657611045,198.46
39_RandomForest,Random Forest,mae,59.58544648033779,117.27
48_NeuralNetwork,Neural Network,mae,66.6595931573305,135.51
22_LightGBM,LightGBM,mae,53.74669905877938,17.84
13_Xgboost,Xgboost,mae,56.452249019871545,19.39
31_CatBoost,CatBoost,mae,55.66994975160175,55.3
40_RandomForest,Random Forest,mae,63.67433829066985,48.3
49_NeuralNetwork,Neural Network,mae,66.61342546600982,136.83
23_LightGBM,LightGBM,mae,54.26128128308887,11.1
14_Xgboost,Xgboost,mae,56.55999697021539,53.93
32_CatBoost,CatBoost,mae,46.34143742261485,1456.08
41_RandomForest,Random Forest,mae,61.97402102203312,54.38
50_NeuralNetwork,Neural Network,mae,67.8694039608148,92.94
26_CatBoost_GoldenFeatures,CatBoost,mae,45.8361857868957,1300.62
30_CatBoost_GoldenFeatures,CatBoost,mae,46.15683166780096,215.02
32_CatBoost_GoldenFeatures,CatBoost,mae,46.30848602418981,1504.81
26_CatBoost_KMeansFeatures,CatBoost,mae,46.144559325567,1574.59
30_CatBoost_KMeansFeatures,CatBoost,mae,46.43707833284656,252.97
32_CatBoost_KMeansFeatures,CatBoost,mae,46.476182653516574,1744.54
26_CatBoost_GoldenFeatures_RandomFeature,CatBoost,mae,45.965212665508,1498.04
26_CatBoost_GoldenFeatures_SelectedFeatures,CatBoost,mae,46.366346490028555,977.98
21_LightGBM_SelectedFeatures,LightGBM,mae,54.64372549629487,11.41
8_Xgboost_SelectedFeatures,Xgboost,mae,56.537121005424254,40.51
39_RandomForest_SelectedFeatures,Random Forest,mae,60.00670202338026,68.08
44_NeuralNetwork_SelectedFeatures,Neural Network,mae,59.631995126436436,154.09
51_CatBoost_GoldenFeatures,CatBoost,mae,45.89512673660433,661.48
52_CatBoost,CatBoost,mae,45.950283737642444,619.76
53_CatBoost,CatBoost,mae,46.01823362163049,974.63
54_LightGBM,LightGBM,mae,53.4801887428565,21.79
