feature,mean_importance
random_feature,0.0006648716260273746
DRAUGHT,0.0009261859530030226
DEPTH,0.0021988486770307515
U_WIND,0.0031318148311622273
AIR_TEMPERATURE,0.007509809216320229
BREADTH,0.010428715971078018
BUILT,0.019383373468151933
FLAG,0.02009248145234681
year,0.021034511346125016
LENGTH,0.031104416888276587
ARI_CO,0.05481149733154096
SHIP_TYPE_CATEGORY,0.05680797889556042
GT,0.08005527765072458
weekday,0.08757481114281365
DEADWEIGHT,0.11040718797682218
PORT_SIZE,0.1167382001888301
DIST,0.39827878654175775
